"Figure","Source","Statistical_refit"
"Figure 1","figure_audit_20260902/V1_Figure1_Screening_Flow_FINAL_20260901.csv + analysis roles","NO"
"Figure 2","expected_results/scientific_outputs/21_Figure2A/B/C_*","NO"
"Figure 3","expected_results/scientific_outputs/21_Figure3A/B/C_*","NO"
"Figure 4","expected_results/scientific_outputs/21_Figure4A/B/C/D_* + 21_Results_Number_Summary.csv","NO"
