"Figure","Frozen_Source","Statistical_Model_Refit","Public_Output"
"Supplementary Figure S1","expected_results/frozen_result_inputs/01_15_Analysis_Set_Summary.csv","NO","Supp_Figure_S1_Cohort_Overview_PUBLIC.pdf/.tiff"
"Supplementary Figure S2","expected_results/frozen_result_inputs/04_16_Alpha_Diversity_Tests.csv","NO","Supp_Figure_S2_Alpha_Diversity_Effects_PUBLIC.pdf/.tiff"
"Supplementary Figure S3","expected_results/frozen_result_inputs/23_19_Leave_One_Genus_Out_Sensitivity.csv","NO","Supp_Figure_S3_LOO_Posthoc_Diagnosis_PUBLIC.pdf/.tiff"
