"Analysis_Set","Project_ID","Analysis_Family","Model_Use","Project_Role","Samples_N","Unique_Patients_N","Groups_N","Group_Summary","Minimum_Depth","Median_Depth","Maximum_Depth","Set","Stage","Label"
"A01_PRJEB33360_Sepsis_vs_NonSepsisICU","PRJEB33360","Primary ICU case-control","Development","Core discovery",146,146,2,"Non-sepsis ICU=79; Sepsis=67",5885,25265,45432,"A01","Development","A01
PRJEB33360"
"A02_PRJNA691455_Sepsis_vs_NonSepsisICU","PRJNA691455","Primary ICU case-control","Development","Core discovery",20,20,2,"Non-sepsis ICU=10; Sepsis=10",27184,51210,67568,"A02","Development","A02
PRJNA691455"
"A03_PRJNA691455_Sepsis_vs_Healthy","PRJNA691455","Secondary healthy-control comparison","Development","Secondary discovery",20,20,2,"Healthy=10; Sepsis=10",36503,56015.5,80294,"A03","Development","A03
PRJNA691455"
"A04_PRJNA1010969_External_Sepsis_vs_Healthy","PRJNA1010969","Locked external validation","Locked_external_test","External validation",35,35,2,"Healthy=17; Sepsis=18",16293,36204,76961,"A04","External validation","A04
PRJNA1010969"
"A05_PRJNA1010969_External_Sepsis_vs_Trauma","PRJNA1010969","Locked external validation","Locked_external_test","External validation",36,36,2,"Sepsis=18; Trauma=18",19970,35152,71887,"A05","External validation","A05
PRJNA1010969"
"A06_PRJNA978257_Sepsis_vs_Healthy","PRJNA978257","Primary healthy-control comparison","Development","Core discovery",13,13,2,"Healthy=7; Sepsis=6",22691,32084,50154,"A06","Development","A06
PRJNA978257"
