"Analysis_ID","Analysis_Set","Project_ID","Analysis_Type","Expected_Samples","Observed_Samples","Expected_Patients","Observed_Patients","Duplicate_Run_N","Candidate_Genera_N","Missing_Candidate_Genera_N","Missing_Candidate_Genera","Status"
"T01_PRJEB33360_Longitudinal_Main","S01_PRJEB33360_Longitudinal_Main_ge1000","PRJEB33360","Longitudinal_main",91,91,43,43,0,6,0,"","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","S02_PRJEB33360_Longitudinal_Sensitivity_ge5000","PRJEB33360","Longitudinal_depth_sensitivity",88,88,43,43,0,6,0,"","PASS"
"T03_PRJNA691455_Sepsis_Longitudinal","S03_PRJNA691455_Sepsis_Longitudinal","PRJNA691455","Longitudinal_sepsis",29,29,10,10,0,6,0,"","PASS"
"T04_PRJNA430161_Intervention","S04_PRJNA430161_Intervention_Longitudinal","PRJNA430161","Intervention_longitudinal",26,26,9,9,0,6,3,"Genus__Butyricimonas|Family__Marinifilaceae | Genus__Hoylesella|Family__Prevotellaceae | Genus__Atopobium|Family__Atopobiaceae","PASS_WITH_MISSING_CANDIDATE_REVIEW"
"T05_PRJNA797231_Myocardial_Dysfunction","S05_PRJNA797231_Organ_Dysfunction","PRJNA797231","Organ_dysfunction_cross_sectional",34,34,34,34,0,6,3,"Genus__Hoylesella|Family__Prevotellaceae | Genus__Campylobacter|Family__Campylobacteraceae | Genus__Atopobium|Family__Atopobiaceae","PASS_WITH_MISSING_CANDIDATE_REVIEW"
"T06_PRJNA912621_Cholestasis_Longitudinal","S06_PRJNA912621_Organ_Dysfunction_Longitudinal","PRJNA912621","Organ_dysfunction_longitudinal",58,58,20,20,0,6,0,"","PASS"
"T01_PRJEB33360_Longitudinal_Main","A01_PRJEB33360_Sepsis_vs_NonSepsisICU","PRJEB33360","Matched_M1_baseline_addition",39,39,39,39,0,6,0,"","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","A01_PRJEB33360_Sepsis_vs_NonSepsisICU","PRJEB33360","Matched_M1_baseline_addition",39,39,39,39,0,6,0,"","PASS"
