"Dataset","Analysis_Set","Evaluation_Role","Score","N","Cases_N","Controls_N","AUC","AUC_CI_Low","AUC_CI_High","Mean_Cases","Mean_Controls","Median_Cases","Median_Controls","Median_Difference","Cliffs_Delta","Wilcoxon_W","Wilcoxon_P","Result_Interpretation","Display_Label"
"Development_Pooled","A01_PRJEB33360_Sepsis_vs_NonSepsisICU | A02_PRJNA691455_Sepsis_vs_NonSepsisICU","Development_primary","SDI_Equal_Balance",166,77,89,0.731212607617102,0.655625273602802,0.806369473223406,1.12481993406261,-1.02914222126658,1.12495870342423,-1.24332068452262,2.36827938794685,0.462425215234204,5011,2.91020523293323e-07,"Development performance","Development pooled"
"A01_PRJEB33360_Sepsis_vs_NonSepsisICU","A01_PRJEB33360_Sepsis_vs_NonSepsisICU","Development_primary","SDI_Equal_Balance",146,67,79,0.733232571320612,0.644993387492915,0.812412620442093,0.856566269173882,-1.23725260747313,0.81017040460859,-1.42889871642343,2.23906912103202,0.466465142641224,3881,1.25885197835571e-06,"Development performance","A01 ICU discovery"
"A02_PRJNA691455_Sepsis_vs_NonSepsisICU","A02_PRJNA691455_Sepsis_vs_NonSepsisICU","Development_primary","SDI_Equal_Balance",20,10,10,0.69,0.42,0.9,2.92211948881709,0.614929829765156,2.03515286579884,1.52870237292828,0.506450492870556,0.38,69,0.161972410480126,"Development performance","A02 ICU discovery"
"A04_PRJNA1010969_External_Sepsis_vs_Healthy","A04_PRJNA1010969_External_Sepsis_vs_Healthy","External_supportive_healthy","SDI_Equal_Balance",35,18,17,0.200980392156863,0.0456699346405229,0.372549019607843,2.14362118485297,3.93332991252795,1.90004135384144,3.92997607197324,-2.0299347181318,-0.598039215686274,61.5,0.00266386388955698,"External direction reversal; validation failed","A04 external healthy"
"A05_PRJNA1010969_External_Sepsis_vs_Trauma","A05_PRJNA1010969_External_Sepsis_vs_Trauma","External_primary_trauma","SDI_Equal_Balance",36,18,18,0.271604938271605,0.104899691358025,0.450617283950617,2.14362118485297,3.65120814064433,1.90004135384144,3.65300997702826,-1.75296862318682,-0.45679012345679,88,0.0200006616203383,"External direction reversal; validation failed","A05 external trauma"
